developer_name,project_name,property_type,rooms_count,area,price_total,price_per_m2,floor,completion_year,address,district
НЕОМЕТРИЯ,Айвазовский,Квартира,3,41.7,5796000.0,139000.0,18,Сдан,"г. Краснодар, ул. Старокубанская, д. 123а",Центральный
ССК,Дыхание,Квартира,2,53.7,6863000.0,127800.0,5,3кв. 2025,"г. Краснодар, ул. Летчика Позднякова, д. 2",Фестивальный
DOGMA,REEDS,Квартира,1,29.6,4680000.0,158100.0,15,2028,"г. Краснодар, ул. Николая Огурцова",Черёмушки
DOGMA,REEDS,Квартира,3,70.6,11360000.0,160900.0,16,2028,"г. Краснодар, ул. Николая Огурцова",Черёмушки
СЕМЬЯ,Все Свои VIP,Квартира,1,62.9,7655000.0,121700.0,14,Сдан,"г. Краснодар, ул. Колхозная, д. 5/2",Гидростроителей
СЕМЬЯ,Все Свои Vip,Квартира,1,97.1,11001000.0,113300.0,18,Сдан,"г. Краснодар, ул. Колхозная, д. 5/2",Центральный
ССК,Дыхание,Квартира,2,85.6,10015000.0,117000.0,2,3кв. 2025,"г. Краснодар, ул. Летчика Позднякова, д. 2",Фестивальный
ТОЧНО,Патрики,Квартира,1,41.7,5142000.0,123300.0,9,2026,"г. Краснодар, пер. Монтажников, д. 163",Гидростроителей
Ava Dom,Новелла,Квартира,3,112.5,13410000.0,119200.0,12,Сдан,"г. Краснодар, ул.Питерская, д. 40",Черёмушки
Ava Dom,Режиссёр,Коммерческая Недвижимость,*,79.7,17582000.0,220600.0,4,2026,"г. Краснодар, ул. Старокубанская, д. 100/6",Черёмушки
Ava Dom,Режиссёр,Квартира,4,45.4,8839000.0,194700.0,5,2026,"г. Краснодар, ул. Старокубанская, д. 100/6",Черёмушки
Ava Dom,Режиссёр,Квартира,4,82.6,15124000.0,183100.0,17,2026,"г. Краснодар, ул. Старокубанская, д. 100/6",Черёмушки
DOGMA,Квартал САМОЛЁТ,Квартира,2,50.4,6441000.0,127800.0,6,2028,"г. Краснодар, ул. им. Ивана Беличенко, д. 88",Российская
СЕМЬЯ,Тёплые края,Квартира,1,35.9,4315000.0,120200.0,22,Сдан,"г. Краснодар, ул. им. Александра Гикало, д. 11",Российская
СЕМЬЯ,Все Свои VIP,Коммерческая Недвижимость,*,94.3,14947000.0,158500.0,2,Сдан,"г. Краснодар, ул. Колхозная, д. 5/2",Гидростроителей
DOGMA,ПАРК ПОБЕДЫ,Квартира,3,109.3,14198000.0,129900.0,25,Сдан,"​г. Краснодар, ул. им. Героя Пешкова, д. 14",Российская
Ava Dom,Смородина,Квартира,2,61.9,7676000.0,124000.0,12,2028,"г. Краснодар, ул. Владимира Жириновского, д. 1",Фестивальный
СЕМЬЯ,Тёплые края,Коммерческая Недвижимость,*,29.8,3844000.0,129000.0,4,Сдан,"г. Краснодар, ул. им. Александра Гикало, д. 11",Российская
СЕМЬЯ,Все Свои Vip,Квартира,5,76.1,9604000.0,126200.0,24,Сдан,"г. Краснодар, ул. Колхозная, д. 5/2",Центральный
СЕМЬЯ,Друзья,Квартира,3,64.1,8160000.0,127300.0,11,Сдан,"г. Краснодар, пер. Серова, д. 75",Российская
СЕМЬЯ,Все Свои Vip,Квартира,3,90.0,11421000.0,126900.0,12,Сдан,"г. Краснодар, ул. Колхозная, д. 5/2",Центральный
Ava Dom,Новелла,Коммерческая Недвижимость,*,103.8,13266000.0,127800.0,3,Сдан,"г. Краснодар, ул.Питерская, д. 40",Черёмушки
СЕМЬЯ,Все Свои VIP,Квартира,4,53.1,6866000.0,129300.0,9,Сдан,"г. Краснодар, ул. Колхозная, д. 5/2",Гидростроителей
ССК,Сердце,Квартира,1,38.9,4672000.0,120100.0,25,Сдан,"г. Краснодар, ул. Школьная, д. 1",Фестивальный
Ava Dom,The Grand Palace,Коммерческая Недвижимость,*,40.1,11765000.0,293400.0,3,Сдан,"г. Краснодар, ул.Уральская, д. 75/6",Гидростроителей
СЕМЬЯ,Все Свои Vip,Квартира,2,45.6,5545000.0,121600.0,22,Сдан,"г. Краснодар, ул. Колхозная, д. 5/2",Центральный
ТОЧНО,Патрики,Квартира,2,39.6,4859000.0,122700.0,11,2026,"г. Краснодар, пер. Монтажников, д. 163",Гидростроителей
Ava Dom,Новелла,Квартира,2,76.3,8935000.0,117100.0,6,Сдан,"г. Краснодар, ул.Питерская, д. 40",Черёмушки
СЕМЬЯ,Друзья,Коммерческая Недвижимость,*,81.8,11133000.0,136100.0,2,Сдан,"г. Краснодар, пер. Серова, д. 75",Российская
DOGMA,Квартал САМОЛЁТ,Квартира,2,59.0,7045000.0,119400.0,14,2028,"г. Краснодар, ул. им. Ивана Беличенко, д. 88",Российская
НЕОМЕТРИЯ,Южане,Коммерческая Недвижимость,*,94.7,14101000.0,148900.0,4,Сдан,"г. Краснодар, ул. им. Даниила Смоляна, д. 78",Гидростроителей
DOGMA,Рекорд2,Коммерческая Недвижимость,*,79.7,10576000.0,132700.0,4,2026,"​г. Краснодар, ул. Новороссийская, д. 102/8",Пашковский
Ava Dom,The Grand Palace,Квартира,4,108.0,25240000.0,233700.0,18,Сдан,"г. Краснодар, ул.Уральская, д. 75/6",Гидростроителей
DOGMA,МКР САМОЛЁТ,Квартира,4,59.1,7600000.0,128600.0,10,Сдан,"г. Краснодар, ул. Ивана Беличенко, д. 90",Центральный
DOGMA,Квартал САМОЛЁТ,Коммерческая Недвижимость,*,97.4,14104000.0,144800.0,3,2028,"г. Краснодар, ул. им. Ивана Беличенко, д. 88",Российская
ССК,Сердце,Квартира,2,59.8,7260000.0,121400.0,7,Сдан,"г. Краснодар, ул. Школьная, д. 1",Фестивальный
Ava Dom,Режиссёр,Квартира,4,37.1,6967000.0,187800.0,10,2026,"г. Краснодар, ул. Старокубанская, д. 100/6",Черёмушки
Ava Dom,The Grand Palace,Квартира,1,72.9,14325000.0,196500.0,6,Сдан,"г. Краснодар, ул.Уральская, д. 75/6",Гидростроителей
Ava Dom,Режиссёр,Коммерческая Недвижимость,*,118.5,22645000.0,191100.0,1,2026,"г. Краснодар, ул. Старокубанская, д. 100/6",Черёмушки
ССК,Фонтаны,Квартира,3,49.8,7888000.0,158400.0,17,2026,"г. Краснодар, ул. Старокубанская, д. 2/23",Гидростроителей
НЕОМЕТРИЯ,Южане,Апартаменты,*,60.0,7362000.0,122700.0,22,Сдан,"г. Краснодар, ул. им. Даниила Смоляна, д. 78",Гидростроителей
DOGMA,ПАРК ПОБЕДЫ,Квартира,3,78.4,9384000.0,119700.0,19,Сдан,"​г. Краснодар, ул. им. Героя Пешкова, д. 14",Российская
СЕМЬЯ,Все Свои Vip,Квартира,2,65.1,8268000.0,127000.0,20,Сдан,"г. Краснодар, ул. Колхозная, д. 5/2",Центральный
Ava Dom,Смородина,Коммерческая Недвижимость,*,100.3,14975000.0,149300.0,2,2028,"г. Краснодар, ул. Владимира Жириновского, д. 1",Фестивальный
Ava Dom,The Grand Palace,Квартира,4,59.6,12999000.0,218100.0,24,Сдан,"г. Краснодар, ул.Уральская, д. 75/6",Гидростроителей
СЕМЬЯ,Все Свои Vip,Квартира,2,107.5,13459000.0,125200.0,6,Сдан,"г. Краснодар, ул. Колхозная, д. 5/2",Центральный
ССК,Фонтаны,Квартира,1,85.2,12277000.0,144100.0,15,2026,"г. Краснодар, ул. Старокубанская, д. 2/23",Гидростроителей
НЕОМЕТРИЯ,Айвазовский,Квартира,1,70.6,8783000.0,124400.0,10,Сдан,"г. Краснодар, ул. Старокубанская, д. 123а",Центральный
ССК,Традиции,Коммерческая Недвижимость,*,48.7,6389000.0,131200.0,4,2027,"пгт. Яблоновский, ул. Тургеневское шоссе",Российская
ССК,Лучший,Квартира,1,77.0,9009000.0,117000.0,20,2026,"г. Краснодар, наб. Степная, д. 94",Черёмушки
НЕОМЕТРИЯ,Южане,Квартира,1,49.3,6029000.0,122300.0,19,Сдан,"г. Краснодар, ул. им. Даниила Смоляна, д. 78",Гидростроителей
ТОЧНО,ПЕРВОЕ МЕСТО,Квартира,5,100.7,13776000.0,136800.0,11,Сдан,"г. Краснодар, бул. Лесный, д. 69",Черёмушки
БЭЛ Девелопмент,Green Apple,Квартира,2,52.3,6245000.0,119400.0,2,Сдан,"г. Краснодар, пр. Придорожный, д. 60",Российская
Ava Dom,The Grand Palace,Квартира,2,101.1,22232000.0,219900.0,5,Сдан,"г. Краснодар, ул.Уральская, д. 75/6",Гидростроителей
СЕМЬЯ,Друзья,Коммерческая Недвижимость,*,59.4,9765000.0,164400.0,3,Сдан,"г. Краснодар, пер. Серова, д. 75",Российская
DOGMA,Квартал САМОЛЁТ,Квартира,2,35.8,4564000.0,127500.0,13,2028,"г. Краснодар, ул. им. Ивана Беличенко, д. 88",Российская
ТОЧНО,Патрики,Коммерческая Недвижимость,*,106.6,15169000.0,142300.0,4,2026,"г. Краснодар, пер. Монтажников, д. 163",Гидростроителей
ССК,Лучший,Квартира,3,108.7,13870000.0,127600.0,12,2026,"г. Краснодар, наб. Степная, д. 94",Черёмушки
СЕМЬЯ,Все Свои Vip,Апартаменты,*,54.7,6865000.0,125500.0,22,Сдан,"г. Краснодар, ул. Колхозная, д. 5/2",Центральный
ССК,Сегодня,Квартира,5,52.5,6930000.0,132000.0,10,Сдан,"г. Краснодар, ул. Ветеранов, д. 85",Центральный
Ava Dom,Смородина,Коммерческая Недвижимость,*,86.4,14066000.0,162800.0,3,2028,"г. Краснодар, ул. Владимира Жириновского, д. 1",Фестивальный
ССК,Лучший,Квартира,5,37.5,4759000.0,126900.0,22,2026,"г. Краснодар, наб. Степная, д. 94",Черёмушки
DOGMA,Рекорд2,Квартира,2,101.0,12878000.0,127500.0,14,2026,"​г. Краснодар, ул. Новороссийская, д. 102/8",Пашковский
ССК,Дыхание,Квартира,4,86.8,11701000.0,134800.0,25,3кв. 2025,"г. Краснодар, ул. Летчика Позднякова, д. 2",Фестивальный
Ava Dom,Смородина,Коммерческая Недвижимость,*,53.0,7372000.0,139100.0,4,2028,"г. Краснодар, ул. Владимира Жириновского, д. 1",Фестивальный
ССК,Лучший,Квартира,1,101.1,11768000.0,116400.0,10,2026,"г. Краснодар, наб. Степная, д. 94",Черёмушки
СЕМЬЯ,Все Свои Vip,Квартира,5,113.0,14261000.0,126200.0,1,Сдан,"г. Краснодар, ул. Колхозная, д. 5/2",Центральный
ССК,Сердце,Квартира,4,98.4,12920000.0,131300.0,19,Сдан,"г. Краснодар, ул. Школьная, д. 1",Фестивальный
ССК,Ракурс,Квартира,2,38.7,4582000.0,118400.0,6,2028,"г. Краснодар, пер. Снежный, д. 72",Юбилейный
ССК,Ракурс,Коммерческая Недвижимость,*,59.5,8990000.0,151100.0,1,2028,"г. Краснодар, пер. Снежный, д. 72",Юбилейный
Ava Dom,Смородина,Апартаменты,*,71.4,7847000.0,109900.0,22,2028,"г. Краснодар, ул. Владимира Жириновского, д. 1",Фестивальный
ССК,Сегодня,Коммерческая Недвижимость,*,53.8,8048000.0,149600.0,1,Сдан,"г. Краснодар, ул. Ветеранов, д. 85",Центральный
DOGMA,ПАРК ПОБЕДЫ,Квартира,3,70.8,9147000.0,129200.0,8,Сдан,"​г. Краснодар, ул. им. Героя Пешкова, д. 14",Российская
СЕМЬЯ,Все Свои Vip,Коммерческая Недвижимость,*,81.4,12243000.0,150400.0,1,Сдан,"г. Краснодар, ул. Колхозная, д. 5/2",Центральный
НЕОМЕТРИЯ,Айвазовский,Апартаменты,*,118.7,14588000.0,122900.0,22,Сдан,"г. Краснодар, ул. Старокубанская, д. 123а",Центральный
НЕОМЕТРИЯ,Южане,Коммерческая Недвижимость,*,82.4,13341000.0,161900.0,4,Сдан,"г. Краснодар, ул. им. Даниила Смоляна, д. 78",Гидростроителей
СЕМЬЯ,Друзья,Квартира,5,92.2,11968000.0,129800.0,22,Сдан,"г. Краснодар, пер. Серова, д. 75",Российская
ТОЧНО,Васильевский остров,Квартира,3,92.9,11482000.0,123600.0,14,2026,"г. Краснодар, наб. Березовая, д. 91",Пашковский
НЕОМЕТРИЯ,Айвазовский,Квартира,2,76.3,10087000.0,132200.0,21,Сдан,"г. Краснодар, ул. Старокубанская, д. 123а",Центральный
DOGMA,Квартал САМОЛЁТ,Квартира,1,27.4,3102000.0,113200.0,5,2028,"г. Краснодар, ул. им. Ивана Беличенко, д. 88",Российская
НЕОМЕТРИЯ,Айвазовский,Квартира,4,73.9,10752000.0,145500.0,3,Сдан,"г. Краснодар, ул. Старокубанская, д. 123а",Центральный
ТОЧНО,Васильевский остров,Квартира,2,107.3,12543000.0,116900.0,11,2026,"г. Краснодар, наб. Березовая, д. 91",Пашковский
ТОЧНО,Васильевский остров,Апартаменты,*,33.5,4211000.0,125700.0,20,2026,"г. Краснодар, наб. Березовая, д. 91",Пашковский
Ava Dom,Смородина,Квартира,5,28.5,3699000.0,129800.0,3,2028,"г. Краснодар, ул. Владимира Жириновского, д. 1",Фестивальный
БЭЛ Девелопмент,Green Apple,Коммерческая Недвижимость,*,93.6,13254000.0,141600.0,1,Сдан,"г. Краснодар, пр. Придорожный, д. 60",Российская
ССК,Лучший,Квартира,1,52.0,5928000.0,114000.0,22,2026,"г. Краснодар, наб. Степная, д. 94",Черёмушки
СЕМЬЯ,Все Свои Vip,Квартира,1,84.1,9478000.0,112700.0,9,Сдан,"г. Краснодар, ул. Колхозная, д. 5/2",Центральный
ТОЧНО,Патрики,Апартаменты,*,88.2,10558000.0,119700.0,19,2026,"г. Краснодар, пер. Монтажников, д. 163",Гидростроителей
Ava Dom,The Grand Palace,Квартира,3,31.4,6877000.0,219000.0,17,Сдан,"г. Краснодар, ул.Уральская, д. 75/6",Гидростроителей
СЕМЬЯ,Тёплые края,Квартира,5,110.1,14974000.0,136000.0,15,Сдан,"г. Краснодар, ул. им. Александра Гикало, д. 11",Российская
ССК,Ракурс,Апартаменты,*,105.1,11687000.0,111200.0,19,2028,"г. Краснодар, пер. Снежный, д. 72",Юбилейный
ССК,Традиции,Квартира,5,29.7,3834000.0,129100.0,10,2027,"пгт. Яблоновский, ул. Тургеневское шоссе",Российская
ССК,Сегодня,Квартира,3,64.8,8275000.0,127700.0,14,Сдан,"г. Краснодар, ул. Ветеранов, д. 85",Центральный
DOGMA,REEDS,Квартира,5,70.6,11600000.0,164300.0,4,2028,"г. Краснодар, ул. Николая Огурцова",Черёмушки
СЕМЬЯ,Тёплые края,Коммерческая Недвижимость,*,55.0,7486000.0,136100.0,1,Сдан,"г. Краснодар, ул. им. Александра Гикало, д. 11",Российская
DOGMA,REEDS,Апартаменты,*,51.7,8520000.0,164800.0,24,2028,"г. Краснодар, ул. Николая Огурцова",Черёмушки
ССК,Дыхание,Коммерческая Недвижимость,*,47.1,7936000.0,168500.0,1,3кв. 2025,"г. Краснодар, ул. Летчика Позднякова, д. 2",Фестивальный
СЕМЬЯ,Все Свои VIP,Коммерческая Недвижимость,*,26.7,3693000.0,138300.0,1,Сдан,"г. Краснодар, ул. Колхозная, д. 5/2",Гидростроителей
СЕМЬЯ,Все Свои Vip,Апартаменты,*,52.3,6480000.0,123900.0,22,Сдан,"г. Краснодар, ул. Колхозная, д. 5/2",Центральный
Ava Dom,Новелла,Апартаменты,*,95.2,10615000.0,111500.0,24,Сдан,"г. Краснодар, ул.Питерская, д. 40",Черёмушки
ССК,Сегодня,Коммерческая Недвижимость,*,93.5,15456000.0,165300.0,3,Сдан,"г. Краснодар, ул. Ветеранов, д. 85",Центральный
ССК,Ракурс,Квартира,1,110.6,13615000.0,123100.0,14,2028,"г. Краснодар, пер. Снежный, д. 72",Юбилейный
СЕМЬЯ,Друзья,Квартира,5,70.6,9679000.0,137100.0,14,Сдан,"г. Краснодар, пер. Серова, д. 75",Российская
DOGMA,DOGMA PARK,Квартира,3,65.3,11421000.0,174900.0,13,2027,"г. Краснодар, ул. Марины Цветаевой, д. 1",Пашковский
ССК,Дыхание,Квартира,4,47.3,6248000.0,132100.0,7,3кв. 2025,"г. Краснодар, ул. Летчика Позднякова, д. 2",Фестивальный
ТОЧНО,Васильевский остров,Квартира,3,96.9,11570000.0,119400.0,6,2026,"г. Краснодар, наб. Березовая, д. 91",Пашковский
СЕМЬЯ,Все Свои Vip,Квартира,2,94.1,11264000.0,119700.0,25,Сдан,"г. Краснодар, ул. Колхозная, д. 5/2",Центральный
ССК,Традиции,Квартира,2,28.3,3489000.0,123300.0,20,2027,"пгт. Яблоновский, ул. Тургеневское шоссе",Российская
Ava Dom,Режиссёр,Квартира,3,52.3,9968000.0,190600.0,14,2026,"г. Краснодар, ул. Старокубанская, д. 100/6",Черёмушки
СЕМЬЯ,Тёплые края,Квартира,3,102.7,13207000.0,128600.0,23,Сдан,"г. Краснодар, ул. им. Александра Гикало, д. 11",Российская
ССК,Лучший,Квартира,3,78.5,9436000.0,120200.0,14,2026,"г. Краснодар, наб. Степная, д. 94",Черёмушки
ССК,Фонтаны,Квартира,3,116.7,17108000.0,146600.0,14,2026,"г. Краснодар, ул. Старокубанская, д. 2/23",Гидростроителей
БЭЛ Девелопмент,Green Apple,Квартира,5,84.2,10660000.0,126600.0,25,Сдан,"г. Краснодар, пр. Придорожный, д. 60",Российская
ССК,Фонтаны,Коммерческая Недвижимость,*,115.7,24100000.0,208300.0,4,2026,"г. Краснодар, ул. Старокубанская, д. 2/23",Гидростроителей
Ava Dom,Небо,Коммерческая Недвижимость,*,67.4,10831000.0,160700.0,2,2028,"г. Краснодар, ул. Ярославская, д. 115",Черёмушки
ССК,Лучший,Квартира,4,27.1,3631000.0,134000.0,6,2026,"г. Краснодар, наб. Степная, д. 94",Черёмушки
Ava Dom,The Grand Palace,Апартаменты,*,119.7,23078000.0,192800.0,22,Сдан,"г. Краснодар, ул.Уральская, д. 75/6",Гидростроителей
НЕОМЕТРИЯ,Южане,Квартира,5,109.5,14728000.0,134500.0,3,Сдан,"г. Краснодар, ул. им. Даниила Смоляна, д. 78",Гидростроителей
ССК,Сегодня,Коммерческая Недвижимость,*,32.0,4992000.0,156000.0,3,Сдан,"г. Краснодар, ул. Ветеранов, д. 85",Центральный
Ava Dom,Смородина,Апартаменты,*,33.6,4113000.0,122400.0,18,2028,"г. Краснодар, ул. Владимира Жириновского, д. 1",Фестивальный
ТОЧНО,Патрики,Квартира,4,79.3,9960000.0,125600.0,12,2026,"г. Краснодар, пер. Монтажников, д. 163",Гидростроителей
Ava Dom,Режиссёр,Квартира,1,108.3,18357000.0,169500.0,9,2026,"г. Краснодар, ул. Старокубанская, д. 100/6",Черёмушки
ССК,Сегодня,Апартаменты,*,77.4,8700000.0,112400.0,22,Сдан,"г. Краснодар, ул. Ветеранов, д. 85",Центральный
DOGMA,МКР САМОЛЁТ,Апартаменты,*,95.9,11633000.0,121300.0,18,Сдан,"г. Краснодар, ул. Ивана Беличенко, д. 90",Центральный
Ava Dom,Смородина,Квартира,4,34.5,4230000.0,122600.0,15,2028,"г. Краснодар, ул. Владимира Жириновского, д. 1",Фестивальный
DOGMA,МКР САМОЛЁТ,Коммерческая Недвижимость,*,31.4,4258000.0,135600.0,1,Сдан,"г. Краснодар, ул. Ивана Беличенко, д. 90",Центральный
Ava Dom,Новелла,Квартира,2,101.1,12274000.0,121400.0,20,Сдан,"г. Краснодар, ул.Питерская, д. 40",Черёмушки
ТОЧНО,Васильевский остров,Квартира,3,45.3,5708000.0,126000.0,17,2026,"г. Краснодар, наб. Березовая, д. 91",Пашковский
ТОЧНО,Васильевский остров,Коммерческая Недвижимость,*,88.2,12577000.0,142600.0,2,2026,"г. Краснодар, наб. Березовая, д. 91",Пашковский
ТОЧНО,Патрики,Квартира,2,80.5,9821000.0,122000.0,15,2026,"г. Краснодар, пер. Монтажников, д. 163",Гидростроителей
СЕМЬЯ,Все Свои VIP,Квартира,1,74.7,8441000.0,113000.0,3,Сдан,"г. Краснодар, ул. Колхозная, д. 5/2",Гидростроителей
DOGMA,Квартал САМОЛЁТ,Апартаменты,*,95.5,10610000.0,111100.0,21,2028,"г. Краснодар, ул. им. Ивана Беличенко, д. 88",Российская
DOGMA,ПАРК ПОБЕДЫ,Квартира,3,40.1,4796000.0,119600.0,24,Сдан,"​г. Краснодар, ул. им. Героя Пешкова, д. 14",Российская
ССК,Фонтаны,Квартира,3,52.7,8147000.0,154600.0,23,2026,"г. Краснодар, ул. Старокубанская, д. 2/23",Гидростроителей
Ava Dom,Смородина,Квартира,3,64.1,7865000.0,122700.0,16,2028,"г. Краснодар, ул. Владимира Жириновского, д. 1",Фестивальный
Ava Dom,The Grand Palace,Апартаменты,*,105.4,20416000.0,193700.0,24,Сдан,"г. Краснодар, ул.Уральская, д. 75/6",Гидростроителей
ССК,Сердце,Квартира,1,54.8,6258000.0,114200.0,10,Сдан,"г. Краснодар, ул. Школьная, д. 1",Фестивальный
БЭЛ Девелопмент,Green Apple,Квартира,4,114.2,14241000.0,124700.0,12,Сдан,"г. Краснодар, пр. Придорожный, д. 60",Российская
DOGMA,REEDS,Квартира,3,108.4,17517000.0,161600.0,9,2028,"г. Краснодар, ул. Николая Огурцова",Черёмушки
ССК,Сегодня,Квартира,2,100.2,12565000.0,125400.0,8,Сдан,"г. Краснодар, ул. Ветеранов, д. 85",Центральный
НЕОМЕТРИЯ,Айвазовский,Квартира,2,56.1,7226000.0,128800.0,19,Сдан,"г. Краснодар, ул. Старокубанская, д. 123а",Центральный
ССК,Ракурс,Квартира,1,34.1,3857000.0,113100.0,2,2028,"г. Краснодар, пер. Снежный, д. 72",Юбилейный
DOGMA,Квартал САМОЛЁТ,Квартира,1,63.3,7539000.0,119100.0,2,2028,"г. Краснодар, ул. им. Ивана Беличенко, д. 88",Российская
СЕМЬЯ,Тёплые края,Коммерческая Недвижимость,*,104.4,16172000.0,154900.0,4,Сдан,"г. Краснодар, ул. им. Александра Гикало, д. 11",Российская
